Site;Visits (p1);Visits (p2);Difference (Visits (p2) - Visits (p1));Variation between Visits (p2) and Visits (p1);Visitors (p1);Visitors (p2);Difference (Visitors (p2) - Visitors (p1));Variation between Visitors (p2) and Visitors (p1);Page views (p1);Page views (p2);Difference (Page views (p2) - Page views (p1));Variation between Page views (p2) and Page views (p1)
"Europe";718310;518094;200216;0.386447;482499;349873;132626;0.379069;1336051;1049367;286684;0.273197
"United Kingdom";402937;422024;-19087;-0.045227;257064;270150;-13086;-0.04844;1153447;1185397;-31950;-0.026953
"Spain";332417;327140;5277;0.016131;206027;210623;-4596;-0.021821;596185;615800;-19615;-0.031853
"Italy";203096;186251;16845;0.090442;112216;106236;5980;0.05629;777122;609441;167681;0.275139
"France";141460;120515;20945;0.173796;68763;60176;8587;0.142698;358326;321233;37093;0.115471
"Poland";111423;151954;-40531;-0.266732;68345;92301;-23956;-0.259542;309472;420462;-110990;-0.263972
"Portugal";85573;74373;11200;0.150592;49635;46206;3429;0.074211;183860;155471;28389;0.1826
"Germany";66157;62839;3318;0.052802;37343;35464;1879;0.052983;173441;176858;-3417;-0.019321
"Czech";32799;35839;-3040;-0.084824;21929;23372;-1443;-0.061741;75600;83567;-7967;-0.095337
"Romania";30023;40636;-10613;-0.261172;18666;25996;-7330;-0.281966;59924;84676;-24752;-0.292314
"Hungary";17795;21823;-4028;-0.184576;11226;13784;-2558;-0.185577;35679;46373;-10694;-0.230608
"Israel";11306;11864;-558;-0.047033;7213;7923;-710;-0.089613;19377;20462;-1085;-0.053025